W₀mean,W₀sd,Tmean,Tsd,var,mean,sd
0.475,0.05,30.25,7.5,n,13.35,3.0826338704016356
0.6,0.05,30.25,7.5,n,19.7,2.38636477557503
0.1,0.1,30.25,7.5,n,5.0,1.8637822325921867
0.225,0.1,30.25,7.5,n,6.25,1.860248992954834
0.35,0.1,30.25,7.5,n,7.95,1.7614288458371994
0.475,0.1,30.25,7.5,n,12.35,2.8520537383288884
0.6,0.1,30.25,7.5,n,18.6,2.5628931020687498
0.1,0.15,30.25,7.5,n,5.65,2.1095023109728985
0.225,0.15,30.25,7.5,n,6.7,2.556724878680371
0.35,0.15,30.25,7.5,n,9.8,2.50473236305325
0.475,0.15,30.25,7.5,n,13.8,2.5256578090511494
0.6,0.15,30.25,7.5,n,21.05,3.219594613252453
0.1,0.2,30.25,7.5,n,5.1,1.4832396974191324
0.225,0.2,30.25,7.5,n,7.7,2.9753372210469466
0.35,0.2,30.25,7.5,n,10.15,3.2971279367927093
0.475,0.2,30.25,7.5,n,15.45,3.5463101654358553
0.6,0.2,30.25,7.5,n,25.05,1.7312909694943341
0.1,0.0,40.0,7.5,n,6.3,2.8302873203598033
0.225,0.0,40.0,7.5,n,7.5,2.039091645032686
0.35,0.0,40.0,7.5,n,10.1,1.7137217117324381
0.475,0.0,40.0,7.5,n,15.8,3.2379330639029256
0.6,0.0,40.0,7.5,n,22.35,2.1830688201896455
0.1,0.05,40.0,7.5,n,4.95,1.637552731171861
0.225,0.05,40.0,7.5,n,7.0,2.077447826946374
0.35,0.05,40.0,7.5,n,10.15,2.3902213066443956
0.475,0.05,40.0,7.5,n,16.15,2.433861994963214
0.6,0.05,40.0,7.5,n,21.2,2.353049533108719
0.1,0.1,40.0,7.5,n,5.95,2.5021043774769813
0.225,0.1,40.0,7.5,n,7.65,2.5188761069384222
0.35,0.1,40.0,7.5,n,8.7,3.02794006754288
0.475,0.1,40.0,7.5,n,15.55,3.0517466957034363
0.6,0.1,40.0,7.5,n,22.35,3.1501879643167827
0.1,0.15,40.0,7.5,n,7.1,1.9439514830419642
0.225,0.15,40.0,7.5,n,8.35,2.1830688201896455
0.35,0.15,40.0,7.5,n,11.15,3.3915529745158586
0.475,0.15,40.0,7.5,n,16.1,3.5228576916743988
0.6,0.15,40.0,7.5,n,21.9,2.1001253095445223
0.1,0.2,40.0,7.5,n,7.4,2.5005262603994725
0.225,0.2,40.0,7.5,n,10.1,3.007009355349247
0.35,0.2,40.0,7.5,n,13.55,2.0894471693929497
0.475,0.2,40.0,7.5,n,18.1,3.462581938988668
0.6,0.2,40.0,7.5,n,25.9,1.8890264827766654
0.1,0.0,1.0,15.0,n,0.25,0.4442616583193193
0.225,0.0,1.0,15.0,n,1.7,0.9233805168766387
0.35,0.0,1.0,15.0,n,2.5,1.0513149660756937
0.475,0.0,1.0,15.0,n,3.1,1.2937094768634554
0.6,0.0,1.0,15.0,n,4.8,2.3530495331087184
0.1,0.05,1.0,15.0,n,0.0,0.0
0.225,0.05,1.0,15.0,n,0.95,0.9445132413883326
0.35,0.05,1.0,15.0,n,2.5,1.2354415362426845
0.475,0.05,1.0,15.0,n,2.9,0.9679060415469871
0.6,0.05,1.0,15.0,n,4.45,1.8771478925557028
0.1,0.1,1.0,15.0,n,0.0,0.0
0.225,0.1,1.0,15.0,n,0.85,0.6708203932499369
0.35,0.1,1.0,15.0,n,2.35,1.1367080817685318
0.475,0.1,1.0,15.0,n,3.05,1.3168942730211068
0.6,0.1,1.0,15.0,n,4.55,1.3168942730211068
0.1,0.15,1.0,15.0,n,0.0,0.0
0.225,0.15,1.0,15.0,n,0.4,0.5026246899500346
0.35,0.15,1.0,15.0,n,2.6,1.3138933706635727
0.475,0.15,1.0,15.0,n,3.7,1.7501879598308414
