total_precip,n_coex,spp_id,canopy_cover,starting_swc,ending_swc,avg_height
0.4393939393939394,9,"[1, 3, 5, 7, 9, 11, 12, 13, 14]",0.9997845721673311,0.17925676726420053,0.09137798092425241,0.011679150034442231
0.4535353535353535,8,"[1, 3, 5, 7, 9, 11, 12, 13]",0.9995959046253596,0.18208983646551077,0.09138276588258769,0.011836656308740878
0.4676767676767677,7,"[1, 3, 5, 7, 9, 11, 12]",0.9995587399884109,0.18554693941299927,0.09201152076552555,0.012019287158979767
0.4818181818181818,7,"[1, 3, 5, 7, 9, 11, 12]",0.9999933241244663,0.19256040987627748,0.09619672747793476,0.012354706325937714
0.49595959595959593,7,"[1, 3, 5, 7, 9, 11, 12]",1.0001536619552043,0.19581210328971757,0.09662021087502677,0.01245399106844734
0.51010101010101,6,"[1, 3, 5, 7, 9, 11]",1.0000661675630758,0.19868363285141816,0.09666343832257404,0.012536865204833433
0.5242424242424243,6,"[1, 3, 5, 7, 9, 11]",1.0000064317992094,0.20151791575250286,0.09666943264032528,0.01261389513237921
0.5383838383838384,6,"[1, 3, 5, 7, 9, 11]",1.0000187638997438,0.20434720784031482,0.09667044065154409,0.012687973357290005
0.5525252525252525,5,"[1, 3, 5, 7, 9]",1.0000725375176271,0.20717570846835315,0.09667065804165394,0.012759273825616766
0.5666666666666667,5,"[1, 3, 5, 7, 9]",1.0000033537088668,0.21000402841977195,0.09667069508643862,0.012828054182648313
0.5808080808080808,5,"[1, 3, 5, 7, 9]",1.0000710367159398,0.2128323112480548,0.09667069508643862,0.012893544218921632
0.5949494949494949,5,"[1, 3, 5, 7, 9]",1.0000544510673715,0.2156605940763376,0.09667069508643862,0.012957510364094016
0.6090909090909091,5,"[1, 3, 5, 7, 9]",0.9992023917586355,0.21848887690462043,0.09667069508643862,0.013018165864051773
0.6232323232323232,5,"[1, 3, 5, 7, 9]",0.9999928380857158,0.22131715973290328,0.09667069508643862,0.013077026902267013
0.6373737373737374,5,"[1, 3, 5, 7, 9]",1.000078215820984,0.22414544256118607,0.09667069508643862,0.013134962145513351
0.6515151515151515,5,"[1, 3, 5, 7, 9]",0.9999915578462509,0.22697372538946892,0.09667069508643862,0.013190863221047695
0.6656565656565656,5,"[1, 3, 5, 7, 9]",1.0000285428947815,0.22980200821775176,0.09667069508643862,0.013242652739165578
0.6797979797979798,5,"[1, 3, 5, 7, 9]",1.0002582299660026,0.2326302910460346,0.09667069508643862,0.01329561663132065
0.693939393939394,5,"[1, 3, 5, 7, 9]",1.0002064194113864,0.2354585738743174,0.09667069508643862,0.013347861015272295
0.7080808080808081,5,"[1, 3, 5, 7, 9]",1.0000056249088785,0.23828685670260025,0.09667069508643862,0.013389268118592649
0.7222222222222222,5,"[1, 3, 5, 7, 9]",1.0000123542833887,0.24175469633996766,0.09731020467223608,0.013466318374674897
