W₀mean,W₀sd,Tmean,Tsd,var,mean,sd
0.4,0.24,50.0,0.0,n,13.9,2.291862033139728
0.5,0.24,50.0,0.0,n,12.65,2.058998223459779
0.6,0.24,50.0,0.0,n,12.85,2.6611236249690506
0.1,0.3,50.0,0.0,n,11.95,2.742933504576135
0.2,0.3,50.0,0.0,n,10.8,2.726092248506719
0.3,0.3,50.0,0.0,n,12.1,2.381949665825522
0.4,0.3,50.0,0.0,n,11.7,3.147262804071935
0.5,0.3,50.0,0.0,n,13.2,2.5047323630532494
0.6,0.3,50.0,0.0,n,13.45,2.54382637606794
0.1,0.0,70.0,0.0,n,8.3,2.515216847405743
0.2,0.0,70.0,0.0,n,10.75,3.8371453204858317
0.3,0.0,70.0,0.0,n,14.2,2.930780388260186
0.4,0.0,70.0,0.0,n,18.9,2.7510763443844266
0.5,0.0,70.0,0.0,n,17.65,3.2326459750489227
0.6,0.0,70.0,0.0,n,18.2,3.3497839678968773
0.1,0.06,70.0,0.0,n,10.4,2.7414940221864814
0.2,0.06,70.0,0.0,n,10.25,3.3225703430041214
0.3,0.06,70.0,0.0,n,14.3,1.4903196407411894
0.4,0.06,70.0,0.0,n,18.85,2.719810364906464
0.5,0.06,70.0,0.0,n,19.7,4.156162197331369
0.6,0.06,70.0,0.0,n,19.3,4.0665516233367995
0.1,0.12,70.0,0.0,n,11.7,3.540740332933659
0.2,0.12,70.0,0.0,n,13.45,3.1867323637065503
0.3,0.12,70.0,0.0,n,14.1,2.7510763443844266
0.4,0.12,70.0,0.0,n,17.7,2.735728518386974
0.5,0.12,70.0,0.0,n,17.75,3.290736599672033
0.6,0.12,70.0,0.0,n,19.4,2.5422741580594415
0.1,0.18,70.0,0.0,n,13.55,2.163695668842645
0.2,0.18,70.0,0.0,n,17.05,3.42552339450715
0.3,0.18,70.0,0.0,n,16.3,2.9217874846167637
0.4,0.18,70.0,0.0,n,17.35,3.199917762101165
0.5,0.18,70.0,0.0,n,17.6,2.854359546562527
0.6,0.18,70.0,0.0,n,19.15,2.6611236249690506
0.1,0.24,70.0,0.0,n,15.2,2.587418953726911
0.2,0.24,70.0,0.0,n,16.45,2.6452539426400317
0.3,0.24,70.0,0.0,n,17.05,2.8557421378504637
0.4,0.24,70.0,0.0,n,17.2,4.3841820937979925
0.5,0.24,70.0,0.0,n,16.95,2.704285098641939
0.6,0.24,70.0,0.0,n,17.8,3.205258836744127
0.1,0.3,70.0,0.0,n,15.85,3.183427480926146
0.2,0.3,70.0,0.0,n,18.35,2.3004576203785834
0.3,0.3,70.0,0.0,n,18.55,3.086046696102688
0.4,0.3,70.0,0.0,n,19.3,3.147262804071935
0.5,0.3,70.0,0.0,n,18.1,3.0418138632972544
0.6,0.3,70.0,0.0,n,18.05,3.8453663161346743
0.1,0.0,90.0,0.0,n,9.55,2.910507280798134
0.2,0.0,90.0,0.0,n,13.65,2.1588252165910684
0.3,0.0,90.0,0.0,n,18.5,3.677813996040812
0.4,0.0,90.0,0.0,n,22.45,2.605156829302827
0.5,0.0,90.0,0.0,n,22.45,3.5611204623500763
0.6,0.0,90.0,0.0,n,22.0,3.641861872001304
0.1,0.06,90.0,0.0,n,11.3,3.881128430590367
0.2,0.06,90.0,0.0,n,12.45,1.9594574974238472
0.3,0.06,90.0,0.0,n,17.6,2.5628931020687498
0.4,0.06,90.0,0.0,n,21.45,2.282081229238369
0.5,0.06,90.0,0.0,n,20.55,3.3946552417773317
0.6,0.06,90.0,0.0,n,20.6,2.5628931020687498
0.1,0.12,90.0,0.0,n,16.1,2.5935141776118527
0.2,0.12,90.0,0.0,n,16.65,4.533791256541785
0.3,0.12,90.0,0.0,n,19.65,3.1165939573093002
0.4,0.12,90.0,0.0,n,21.05,3.086046696102688
0.5,0.12,90.0,0.0,n,20.15,3.5135077688978096
0.6,0.12,90.0,0.0,n,21.0,3.5093859111936108
0.1,0.18,90.0,0.0,n,17.2,2.067289096988207
0.2,0.18,90.0,0.0,n,16.8,5.327189443639211
0.3,0.18,90.0,0.0,n,18.3,4.600915240757167
0.4,0.18,90.0,0.0,n,21.35,3.2326459750489227
